,Emp No,Month,Department,rank,week_ot,weekend_ot,night_ot,net_ot,weekend_ratio,cluster
0,0,1,B,G1S,5.625,6.875,3.75,4,0,3
1,1,1,D,G1D,25,2.142857143,2.142857143,22.85714286,0.09375,2
2,2,1,B,G1S,0.625,3.125,0.625,4,0,3
3,3,1,C,G3,18.26086957,1.904761905,9.565217391,16.35610766,0.116455696,2
4,4,1,A,G1S,1.25,0,0,1.25,0,3
5,5,1,B,G1S,26.875,6.875,1.875,20,0.34375,2
6,6,1,D,G1D,21.42857143,4.285714286,6.428571429,17.14285714,0.25,2
7,7,1,D,G2,28.18181818,1.818181818,3.636363636,26.36363636,0.068965517,1
8,8,1,C,G1D,2.857142857,5.714285714,7.142857143,7,0,3
9,9,1,B,G1D,4.285714286,5,5,7,0,3
10,10,1,A,G1S,15.625,6.25,3.125,9.375,0.666666667,0
11,11,1,C,G1S,20.625,6.875,6.25,13.75,0.5,0
12,12,1,C,G2,13.63636364,6.363636364,5.454545455,7.272727273,0.875,3
13,13,1,D,G1D,2.857142857,5,7.142857143,7,0,3
14,14,1,D,G1D,3.571428571,5,5,7,0,3
15,15,1,B,G1S,9.375,4.375,1.25,5,0.875,3
16,16,1,B,G1S,8.75,3.75,4.375,5,0.75,3
17,17,1,C,G1D,30,7.857142857,2.857142857,22.14285714,0.35483871,2
18,18,1,D,G1S,24.375,5,1.25,19.375,0.258064516,2
19,19,1,C,G2,33.63636364,6.363636364,3.636363636,27.27272727,0.233333333,1
20,20,1,C,G1S,8.75,1.875,6.875,6.875,0.272727273,3
21,21,1,B,G1S,4.375,5,5.625,4,0,3
22,22,1,D,G2,10,5.454545455,10,4.545454545,1,3
23,23,1,C,G1D,26.42857143,2.857142857,1.428571429,23.57142857,0.121212121,2
24,24,1,D,G3,37.39130435,6.666666667,2.608695652,30.72463768,0.216981132,1
25,25,1,B,G3,33.91304348,4.761904762,0,29.15113872,0.163352273,1
26,26,1,D,G1S,4.375,5,0.625,4,0,3
27,27,1,A,G2,23.63636364,7.272727273,0,16.36363636,0.444444444,2
28,28,1,A,G3,33.04347826,1.904761905,7.826086957,31.13871636,0.061170213,1
29,29,1,C,G1D,13.57142857,6.428571429,7.857142857,7.142857143,0.9,3
30,30,1,D,G3,30.43478261,6.666666667,5.217391304,23.76811594,0.280487805,2
31,31,1,D,G3,9.565217391,8.571428571,6.086956522,0.99378882,1,3
32,32,1,A,G3,33.91304348,0.952380952,0,32.96066253,0.028894472,1
